date,turn,oamvc,oamv_zdf,oamv_smx,pre_5d_zdf,pre_5d_dates,post_5d_zdf,pre_sum_2d,pre_sum_3d,pre_sum_5d,post_sum_2d,post_sum_3d,max_pre_single,min_pre_single
2026-04-08,空转多,199591.55591586782,6.450598162931062,202657.10218137872,"[-3.054089626132509, 0.9721483516572356, -2.915703723663556, -3.4037259170608056, -1.3053288681401387]","['20260331', '20260401', '20260402', '20260403', '20260407']","[-1.1359322470960287, 2.0565288489059568, -0.39432299850776076, 1.4714729337552659, -0.38939239422069993]",-4.709054785200944,-7.624758508864501,-9.706699783339774,0.9205966018099281,0.5262736033021673,0.9721483516572356,-3.4037259170608056
2026-02-02,多转空,255389.47363805986,-3.4011967154897738,255307.18280377352,"[0.7441629111392977, 0.3027468469558767, 0.3652076305601097, 1.0152497367437006, -1.1475973469775698]","['20260126', '20260127', '20260128', '20260129', '20260130']","[1.7810229744442903, -0.3943976912053594, -3.0051509167584634, -1.8827454046453826, 0.6436209726444008]",-0.1323476102338692,0.23286002032624048,1.2797697784214148,1.386625283238931,-1.6185256335195324,1.0152497367437006,-1.1475973469775698
2025-12-08,空转多,170587.22942018724,2.26899403553142,174023.89797214998,"[0.42754797399084915, -2.7208478906078923, -1.9303621115527203, -1.58292497934719, 0.5994756635858282]","['20251201', '20251202', '20251203', '20251204', '20251205']","[-0.24812388467192364, -0.36359743253790877, -1.2417834244758272, 2.1436034299194158, -1.046531012296338]",-0.9834493157613619,-2.9138114273140823,-5.207111343931126,-0.6117213172098324,-1.8535047416856596,0.5994756635858282,-2.7208478906078923
2025-09-04,多转空,226684.1630930659,-1.859169571729866,218055.67488179184,"[3.8410704705251453, 1.2706950180008123, 1.6025439460646642, -0.0926315335452654, -1.7305998193741334]","['20250828', '20250829', '20250901', '20250902', '20250903']","[2.4736951160371374, 0.7224651808565227, -2.050005715615979, -1.551174932839445, 2.297759704296475]",-1.8232313529193989,-0.22068740685473462,4.891078081671223,3.19616029689366,1.1461545812776812,3.8410704705251453,-1.7305998193741334
2025-06-24,空转多,116110.9930593428,3.569694690321194,113028.98432345023,"[-0.19295720098762317, -0.3230849989655967, -0.8574447801126425, -1.2867702527814824, 0.33428774077478635]","['20250617', '20250618', '20250619', '20250620', '20250623']","[4.392747135064917, 1.8172195043609496, 1.2479448594280107, 1.3913754910869496, 0.5265353923910246]",-0.952482512006696,-1.8099272921193386,-2.3259694920725584,6.209966639425867,7.4579114988538775,0.33428774077478635,-1.2867702527814824
2025-05-15,多转空,115695.57673903173,-2.2436902260925646,117046.01694182027,"[0.7814085458313741, -1.7062369808946796, 1.430721942182357, -0.3189404053357898, 0.9855145149915031]","['20250508', '20250509', '20250512', '20250513', '20250514']","[-1.2291498197790571, -1.1034082077715919, 0.47861562398308105, -0.19613874416855656, -1.3828126307894069]",0.6665741096557133,2.0972960518380703,1.1724676167747647,-2.332558027550649,-1.853942403567568,1.430721942182357,-1.7062369808946796
2025-05-06,空转多,114225.21268275351,3.256618825863212,117062.72452762772,"[-1.8654836612331174, -0.9821617592933638, -2.172044831295382, -1.2147088913838973, 0.3454021742839027]","['20250424', '20250425', '20250428', '20250429', '20250430']","[2.4382971692509736, 0.7814085458313741, -1.7062369808946796, 1.430721942182357, -0.3189404053357898]",-0.8693067170999946,-3.0413515483953764,-5.888996968921858,3.219705715082348,1.513468734187668,0.3454021742839027,-2.172044831295382
2025-04-16,多转空,127916.27906225697,-3.471884382409457,132670.81802965008,"[5.934030055122774, 4.986536380194646, 1.359146777144628, 0.755904673147043, -3.7076276900639416]","['20250409', '20250410', '20250411', '20250414', '20250415']","[-3.0494145190980286, -3.245026988122339, -0.7807251385227825, -1.507067003119358, 0.11645000630237148]",-2.9517230169168984,-1.5925762397722707,9.32799019554515,-6.294441507220368,-7.07516664574315,5.934030055122774,-3.7076276900639416
2025-04-08,空转多,121165.10075205754,5.167048205658691,132575.31439274113,"[-2.270848003732352, -1.4024290767905898, -2.8168278069089, -2.215355333073639, -7.199321448202796]","['20250331', '20250401', '20250402', '20250403', '20250407']","[5.934030055122774, 4.986536380194646, 1.359146777144628, 0.755904673147043, -3.7076276900639416]",-9.414676781276436,-12.231504588185334,-15.904781668708278,10.920566435317419,12.279713212462047,-1.4024290767905898,-7.199321448202796
2025-02-28,多转空,162976.67812621323,-2.4770237224335907,154639.33404379996,"[4.919501383389033, 2.116588031928226, 0.012148144432025864, 1.9793633861557358, 1.078002043897436]","['20250221', '20250224', '20250225', '20250226', '20250227']","[-0.20155460867981484, -0.7193390359569721, -0.5941670313910731, 3.2256564356056194, 0.12145803154153106]",3.0573654300531716,3.069513574485198,10.105602989802456,-0.920893644636787,-1.51506067602786,4.919501383389033,0.012148144432025864
2025-02-06,空转多,120871.0569931039,4.504245299122367,119972.3837861764,"[-2.09552835313173, 0.6394190428951873, 0.7822749142336601, -2.1601846410841583, 0.6757540434804938]","['20250122', '20250123', '20250124', '20250127', '20250205']","[6.551884536395688, 3.17558183101034, 0.8692517588317782, 2.423875024695812, 1.106274471997037]",-1.4844305976036645,-0.7021556833700043,-2.158264993606547,9.727466367406027,10.596718126237807,0.7822749142336601,-2.1601846410841583
2025-01-27,多转空,114885.04418660447,-2.1601846410841583,120563.09850120674,"[-0.8297979208633125, -1.164248938199704, -2.09552835313173, 0.6394190428951873, 0.7822749142336601]","['20250120', '20250121', '20250122', '20250123', '20250124']","[0.6757540434804938, 4.504245299122367, 6.551884536395688, 3.17558183101034, 0.8692517588317782]",1.4216939571288474,-0.6738343960028825,-2.667881255065899,5.17999934260286,11.731883878998548,0.7822749142336601,-2.09552835313173
2025-01-14,空转多,124092.23801923123,4.214586056843518,130858.84745456454,"[0.25237958009704425, -0.03427431200578847, -1.1348937698578812, -3.075845978806017, -2.659992506306273]","['20250107', '20250108', '20250109', '20250110', '20250113']","[-1.7137512278707534, 0.04090572892605421, -1.1258398406948478, -0.8297979208633125, -1.164248938199704]",-5.735838485112289,-6.870732254970171,-6.652626986878915,-1.6728454989446992,-2.798685339639547,0.25237958009704425,-3.075845978806017
2024-12-17,多转空,162004.46026875058,-2.849860543259873,169627.41009731416,"[3.276226067322887, 0.2630584893419567, 0.8110899303859392, -1.2187835564070353, -1.446923631970387]","['20241210', '20241211', '20241212', '20241213', '20241216']","[-1.2425166763493976, -1.0638138173332745, -0.24380246867980354, -2.361759381365471, -0.7336437145559168]",-2.6657071883774224,-1.854617257991483,1.6846672986733606,-2.306330493682672,-2.5501329623624756,3.276226067322887,-1.446923631970387
